time,addr,txid,value
2020-05-04 13:20:40,['3QhHo5Y2odxP6ysLya5YvUQZMxyFDxyYjL'],a2d1ce382eb579bb50f039bb253060aafbd0ce58e8d6837c2af700fc8e7bb49c,139.76341215
2020-05-09 19:20:10,['3Dzvkg8wL8vjUq1pzC9y8Mb9tVso2CtzHd'],c5fc5cd22c553207714ac3fa6f51645d47be707b6d51226daaae5b21e0832483,26.21092
2020-05-16 18:37:40,['3FhLCm5ugbjATA6XFVh54RJESzomGCU7Af'],638a839af00c3d2256a0e272f63500975dffd7c1d22eefeda5c62f92b5910ff4,10.95
2020-06-06 03:39:49,['36h3MqTkJPpygkJjGmcQRBEgC5t8Hn3rge'],d3c7a8a9f501460c6ed196711c41d9ffc57aa2808dc04bdfd0a6d68bde727615,126.7892
2020-06-06 03:57:19,"['3QhHo5Y2odxP6ysLya5YvUQZMxyFDxyYjL', '3JsrRE5gZwD8UUH24U1Vk5KTGK67vFvRZ7']",5d3c3a2827f01d110c2299c99f908b7ee6f9b49c402272431400c95a0394e8f2,-0.01008183
2020-06-06 03:57:19,"['3GRcyckxF4PjSgpgugxghQk7tyap4mhNZ5', '3EnqtxJupHWsGu8K5Ybkq1SfPSSx2FwUBg', '3DeLccAXsLTCQE7rBQb2MG4e3Ao9tBfKCy']",d5e67679e29b53bec55b981ab9d1c472164d710820e5347b12c622f2e730b64b,-74.99012691
2020-06-22 21:02:11,['3HERM2YAtwgvmbeR9X8K6Hsfn7BuWCP6Hm'],61e709fb96f1feaec22a2d4667b0c1f783767ee3821e77ba9f96099a23b301a0,16.04101409
2020-06-22 21:33:51,"['3JsrRE5gZwD8UUH24U1Vk5KTGK67vFvRZ7', '3Q7LoBWVJwgzPFas51KmyDpDHYeLSRc86D']",a3d1bf00172683e3a27e6ee340c6979d3bddb21b8122bf54a332fa824167320a,-50.00004509
2020-06-22 21:33:51,"['3BFqqqvwMGYEuPt2RLfpRag4fyJAuBcHXU', '36h3MqTkJPpygkJjGmcQRBEgC5t8Hn3rge']",8096a6bce9c31406443fcb84b4704cf085fe0878251a47e523c38133c018eaf5,-30.00004509
2020-06-26 03:31:21,"['3BFqqqvwMGYEuPt2RLfpRag4fyJAuBcHXU', '3HqaDTmRPFgi4qn4WXYdKRgg1djxxPYvJg']",f5c3c4a868cc26185528fe983000b498d4382fccc870725e382f143c85f82bf4,-0.01005344
2020-06-26 03:35:16,"['3HERM2YAtwgvmbeR9X8K6Hsfn7BuWCP6Hm', '3FP53hX4442C2NWj3mg6gNqK37c4wbQMy4', '3FhLCm5ugbjATA6XFVh54RJESzomGCU7Af', '3GRcyckxF4PjSgpgugxghQk7tyap4mhNZ5', '32XHx5Nd3m8EDjN21u9ranXiyyiB6F3ofn', '3Q7LoBWVJwgzPFas51KmyDpDHYeLSRc86D', '3Amc3CRjbmaRxDrRBzdo9YFcd1oxdnesFx', '3HqaDTmRPFgi4qn4WXYdKRgg1djxxPYvJg', '3Dzvkg8wL8vjUq1pzC9y8Mb9tVso2CtzHd']",e602acde5e4f6b603b78d5171f8372000a3d9d33263617dc4970add38c494f90,-300.35499895
2020-06-30 00:16:08,['34f9z3us96TTZDW6WvYFF8FT8rNiQ7Tqar'],f7cf722328c1ae1fb0ae2c2f29c1ae60a2079f9880a33ea5d61810cdf1067525,14.11
2020-06-30 23:40:29,['3PHUrdTVy31qBg7y3FnW3QMSgSuwEtLmcC'],c4dee6896550eccff0dedb54a01599550bcc7e76f92f1f02427fdcf843cf8d36,59.94
2020-07-16 23:46:56,"['38cL5reDeqr3ANxuNH4YiJhBVrArs9RW2y', '3PHUrdTVy31qBg7y3FnW3QMSgSuwEtLmcC']",828794692f02d033bcca208b62699fb791a57397a6ce58de409f1c985a11aeaf,-58.00011523
2020-07-22 00:24:39,['3C3JeSotgvokzszrcU3VSnm8oGPVH7KBrg'],61a0dfedac8a34576c9d0b0c989ecdcef9f22b26d4d4230c95512aa9a7e51d44,12.095
2020-07-29 20:56:13,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],dc263a9ba57c680dd2be6e1560593be77c9657cb73eff5a14ec7a2f34a447d10,13.04451929
2020-07-29 20:56:13,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],173689b4b6b57be4659a8839d9e8f1b8e73aa39624eea4e06aad5b8a394adb9f,0.01
